Year,Country,Industry,AI_Tool,Adoption_Rate,Daily_Active_Users,Company_Size,Age_Group
2024,Canada,Healthcare,Claude,66.02,11942,Small,18-25
2025,Germany,Healthcare,Claude,84.43,64199,Large,26-35
2026,India,Retail,GitHub Copilot,26.12,2182,Large,18-25
2025,India,Manufacturing,GitHub Copilot,28.61,53904,Small,46-55
2026,Germany,Healthcare,Claude,68.36,26361,Medium,36-45
2026,UK,Retail,Gemini,20.95,86606,Small,46-55
2023,USA,IT,Claude,46.78,9895,Small,18-25
2025,India,Healthcare,GitHub Copilot,6.8,45409,Large,18-25
2023,USA,IT,Claude,17.69,61556,Medium,46-55
2025,Australia,IT,GitHub Copilot,66.1,98664,Large,26-35
2025,Australia,Manufacturing,Claude,72.27,20280,Small,18-25
2023,Germany,Healthcare,Perplexity,15.38,63388,Large,46-55
2023,Australia,IT,GitHub Copilot,25.49,46435,Large,46-55
2025,Australia,Manufacturing,Gemini,13.9,92987,Small,36-45
2024,UK,Manufacturing,Perplexity,44.01,33368,Large,26-35
2026,UK,Healthcare,Claude,16.35,66651,Small,56+
2023,UK,Manufacturing,GitHub Copilot,44.36,24589,Large,46-55
2026,Australia,Healthcare,Perplexity,70.89,59498,Medium,36-45
2024,Germany,Healthcare,Gemini,66.5,54570,Small,56+
2024,Canada,Education,GitHub Copilot,30.24,77502,Medium,36-45
2024,Canada,IT,Perplexity,65.64,80908,Large,36-45
2023,USA,Finance,Perplexity,88.49,32261,Medium,26-35
2024,Canada,Healthcare,Perplexity,36.28,67735,Medium,18-25
2023,Canada,IT,ChatGPT,34.62,72022,Medium,26-35
2024,UK,Manufacturing,Claude,56.43,70974,Large,56+
2026,UK,Retail,GitHub Copilot,27.1,60461,Small,26-35
2026,Australia,Healthcare,GitHub Copilot,63.64,73936,Large,18-25
2025,USA,Manufacturing,GitHub Copilot,79.9,60866,Large,26-35
2026,India,Manufacturing,Perplexity,46.34,21500,Large,26-35
2025,USA,Manufacturing,Claude,66.16,24741,Small,26-35
2026,USA,Manufacturing,Gemini,63.67,52333,Large,46-55
2023,Germany,Manufacturing,GitHub Copilot,8.48,69933,Large,46-55
2026,Australia,Healthcare,Claude,21.51,19432,Small,26-35
2025,Germany,Finance,Claude,85.42,15301,Small,18-25
2025,USA,Education,ChatGPT,89.5,45482,Small,18-25
2024,USA,Manufacturing,GitHub Copilot,75.24,46229,Medium,18-25
2023,USA,Manufacturing,Perplexity,87.91,33908,Small,18-25
2026,Canada,Education,Claude,32.55,78446,Medium,36-45
2024,Germany,Healthcare,Claude,27.29,73624,Medium,26-35
2026,USA,IT,Gemini,39.59,56725,Large,26-35
2026,UK,Retail,ChatGPT,9.98,40427,Medium,36-45
2024,Australia,Retail,Claude,77.89,19679,Large,18-25
2024,Australia,IT,Claude,93.58,21583,Medium,56+
2024,UK,Healthcare,Perplexity,79.16,603,Small,56+
2024,Australia,Retail,Perplexity,54.95,70980,Large,36-45
2024,Canada,Education,Gemini,31.58,9047,Medium,56+
2026,Canada,IT,Gemini,22.79,9633,Large,46-55
2024,India,Finance,Gemini,37.77,47676,Small,26-35
2023,India,Healthcare,Perplexity,65.03,41016,Medium,56+
2025,India,IT,Perplexity,45.24,47023,Medium,46-55
2024,Australia,Retail,ChatGPT,89.07,55262,Small,26-35
2024,Canada,Healthcare,GitHub Copilot,81.88,80829,Medium,46-55
2026,Canada,Education,GitHub Copilot,14.22,67017,Medium,26-35
2024,Canada,Healthcare,ChatGPT,16.84,7112,Large,26-35
2024,UK,Healthcare,GitHub Copilot,65.86,15313,Medium,56+
2024,Canada,Education,Perplexity,25.77,27663,Small,36-45
2026,UK,Manufacturing,GitHub Copilot,76.19,15312,Medium,56+
2024,India,Education,Perplexity,58.22,95760,Large,18-25
2025,India,Healthcare,ChatGPT,25.68,60288,Medium,46-55
2026,Australia,Education,Gemini,48.08,46676,Large,18-25
2025,India,Manufacturing,ChatGPT,41.55,10811,Medium,26-35
2026,Australia,IT,GitHub Copilot,83.58,95902,Large,56+
2024,USA,Education,Perplexity,7.89,9615,Large,18-25
2025,USA,Education,GitHub Copilot,85.63,20293,Medium,18-25
2026,Germany,Healthcare,GitHub Copilot,63.69,67767,Small,18-25
2023,Australia,IT,Gemini,71.38,2524,Small,26-35
2024,Germany,Finance,GitHub Copilot,5.23,44444,Medium,26-35
2026,Germany,Finance,Gemini,61.54,63192,Medium,26-35
2023,USA,Retail,Perplexity,57.96,87459,Medium,18-25
2026,Australia,Education,Perplexity,53.35,59695,Medium,46-55
2023,USA,Education,Gemini,75.73,54726,Medium,56+
2024,Germany,IT,ChatGPT,55.03,9300,Small,56+
2025,Australia,Manufacturing,Perplexity,82.14,50569,Large,26-35
2023,Germany,Finance,ChatGPT,25.94,23131,Large,18-25
2026,Canada,Retail,Perplexity,77.54,3316,Small,46-55
2024,Australia,IT,Perplexity,21.14,45694,Small,36-45
2023,Australia,Education,Claude,78.18,116,Large,26-35
2026,Germany,Finance,GitHub Copilot,89.64,26478,Small,36-45
2026,Canada,Retail,GitHub Copilot,35.21,31834,Medium,56+
2026,UK,Healthcare,ChatGPT,52.69,78986,Small,56+
2023,USA,Finance,GitHub Copilot,64.25,14550,Small,46-55
2023,Germany,Retail,ChatGPT,12.15,1573,Small,46-55
2023,Australia,IT,Perplexity,49.47,25625,Small,36-45
2025,USA,Healthcare,Claude,37.45,28672,Large,56+
2023,USA,Retail,Claude,83.52,42128,Large,46-55
2023,USA,Retail,Perplexity,83.9,37179,Large,46-55
2023,UK,Education,Gemini,68.07,59067,Large,56+
2025,India,Manufacturing,Gemini,64.02,52147,Medium,56+
2023,Germany,Finance,GitHub Copilot,71.03,30210,Medium,18-25
2026,India,Education,ChatGPT,37.94,92524,Large,46-55
2023,India,Healthcare,Claude,41.41,2046,Large,36-45
2026,India,Manufacturing,GitHub Copilot,54.83,22043,Large,26-35
2026,USA,Retail,Perplexity,89.42,15840,Small,26-35
2026,Canada,Education,Claude,70.16,92081,Medium,56+
2025,USA,Manufacturing,ChatGPT,54.59,74812,Medium,36-45
2025,USA,Finance,ChatGPT,74.34,95502,Small,18-25
2025,Australia,Healthcare,Gemini,38.38,44751,Small,46-55
2023,Australia,IT,GitHub Copilot,70.74,37369,Small,18-25
2026,India,Education,Perplexity,41.96,77254,Medium,36-45
2025,USA,Healthcare,Claude,30.17,90372,Small,18-25
2025,India,IT,ChatGPT,59.88,38782,Small,56+
2023,Australia,Education,Claude,66.82,24701,Small,26-35
2025,Canada,Healthcare,Perplexity,46.34,32950,Large,56+
2023,Germany,Healthcare,Claude,55.9,41232,Small,46-55
2024,India,Manufacturing,GitHub Copilot,67.47,50250,Large,56+
2025,Canada,Education,Gemini,74.09,5904,Medium,36-45
2024,Germany,Healthcare,Claude,85.6,85161,Medium,36-45
2023,UK,Retail,Gemini,36.91,52134,Medium,46-55
2026,India,Education,Perplexity,90.63,45161,Large,46-55
2025,India,Healthcare,Gemini,62.36,27519,Small,26-35
2023,UK,Manufacturing,Claude,75.89,23846,Medium,18-25
2026,UK,IT,Claude,67.98,78448,Small,26-35
2026,India,IT,ChatGPT,23.5,92322,Large,56+
2024,UK,Retail,Claude,11.43,67681,Medium,18-25
2023,USA,Education,Gemini,70.37,25436,Small,46-55
2026,Germany,Manufacturing,ChatGPT,50.99,46052,Small,36-45
2025,Germany,Healthcare,Claude,68.2,96096,Medium,56+
2025,Germany,Healthcare,Claude,47.92,47243,Small,26-35
2024,USA,IT,Perplexity,33.1,87304,Large,46-55
2026,UK,Manufacturing,ChatGPT,30.65,59479,Medium,18-25
2023,Canada,Retail,Perplexity,70.75,34420,Medium,18-25
2025,UK,IT,Perplexity,29.91,98211,Medium,36-45
2026,India,IT,Perplexity,69.32,99228,Medium,46-55
2026,Australia,Retail,GitHub Copilot,39.56,36616,Large,46-55
2024,Germany,Education,Perplexity,74.38,59889,Large,56+
2025,UK,Healthcare,Gemini,17.85,71214,Small,56+
2025,Canada,Education,Claude,23.45,61340,Large,18-25
2023,India,Manufacturing,GitHub Copilot,66.73,41898,Small,26-35
2025,USA,Finance,Perplexity,55.42,86715,Small,18-25
2023,USA,Finance,Claude,23.35,56020,Medium,56+
2025,Canada,Finance,ChatGPT,86.25,66573,Small,56+
2024,India,Retail,ChatGPT,29.83,65426,Medium,56+
2025,Germany,IT,Claude,42.9,73231,Small,18-25
2023,UK,Education,Gemini,23.21,524,Large,46-55
2023,India,Healthcare,Claude,39.92,63974,Medium,26-35
2024,USA,Finance,Claude,49.25,3151,Small,26-35
2025,Canada,Education,GitHub Copilot,31.57,96978,Large,56+
2025,Canada,Finance,ChatGPT,74.22,59581,Large,36-45
2024,UK,Finance,ChatGPT,40.45,63972,Medium,18-25
2025,Canada,Healthcare,Perplexity,70.66,77874,Medium,46-55
2025,Canada,Manufacturing,Claude,23.64,27886,Medium,56+
2023,India,Manufacturing,Claude,38.93,95304,Small,36-45
2025,Germany,Manufacturing,Gemini,5.73,68330,Medium,56+
2025,UK,Retail,ChatGPT,73.28,69231,Large,36-45
2024,India,IT,Gemini,61.33,1367,Large,26-35
2024,Germany,Retail,GitHub Copilot,78.6,66057,Medium,36-45
2026,India,Education,Perplexity,46.0,62745,Medium,26-35
2023,Australia,Retail,Gemini,76.98,19750,Large,26-35
2025,India,Education,ChatGPT,63.28,7117,Small,18-25
2025,Canada,Education,GitHub Copilot,5.33,9949,Large,36-45
2026,Germany,IT,Claude,27.83,89149,Large,46-55
2025,UK,Healthcare,GitHub Copilot,49.45,62553,Large,46-55
2023,UK,IT,Gemini,60.68,49217,Medium,36-45
2026,Germany,Manufacturing,ChatGPT,10.9,57347,Small,18-25
2023,Canada,Manufacturing,Gemini,68.46,44999,Small,46-55
2026,USA,Retail,Claude,53.92,41744,Medium,56+
2026,India,Education,Claude,52.32,67862,Large,46-55
2024,Canada,Finance,ChatGPT,31.28,4488,Medium,18-25
2023,Australia,Finance,Perplexity,58.53,68058,Medium,26-35
2025,Germany,Education,GitHub Copilot,7.47,40094,Small,26-35
2025,India,IT,GitHub Copilot,10.82,74905,Small,26-35
2023,UK,Healthcare,Claude,71.05,77813,Medium,18-25
2025,USA,IT,Gemini,33.97,77668,Medium,26-35
2025,Australia,Education,Gemini,36.23,72952,Small,26-35
2023,UK,Education,Perplexity,23.75,2943,Small,18-25
2026,Germany,Healthcare,Gemini,45.11,28115,Large,56+
2023,India,Retail,GitHub Copilot,9.68,69747,Medium,46-55
2026,Germany,Retail,Gemini,32.03,45331,Large,18-25
2025,India,Healthcare,Perplexity,52.44,87679,Large,18-25
2025,Canada,Retail,GitHub Copilot,46.91,95737,Large,36-45
2025,USA,Finance,Gemini,94.97,46646,Small,26-35
2024,Canada,Retail,GitHub Copilot,39.99,51155,Large,56+
2026,Canada,Retail,Claude,39.83,93506,Small,36-45
2024,Germany,Retail,Claude,50.32,49677,Small,56+
2024,USA,Finance,Claude,22.13,35269,Small,26-35
2023,India,Retail,Gemini,83.87,41809,Medium,26-35
2024,India,Manufacturing,Perplexity,56.5,29515,Large,26-35
2023,Australia,Finance,GitHub Copilot,22.29,15785,Small,46-55
2023,UK,Healthcare,ChatGPT,76.41,16063,Medium,56+
2024,Australia,IT,Claude,8.09,29798,Medium,56+
2026,Australia,Healthcare,Claude,93.43,94786,Medium,36-45
2026,India,IT,ChatGPT,82.86,62515,Small,18-25
2026,Germany,Healthcare,ChatGPT,57.17,56500,Small,26-35
2026,Canada,Manufacturing,Gemini,15.02,55550,Small,26-35
2026,Canada,IT,GitHub Copilot,24.37,87062,Medium,36-45
2024,Canada,IT,Claude,30.15,50811,Small,56+
2024,USA,Education,Perplexity,26.69,71671,Large,46-55
2025,India,IT,Gemini,49.78,72707,Small,56+
2026,Germany,IT,Gemini,90.01,20678,Small,46-55
2024,USA,Education,Perplexity,44.98,93680,Large,46-55
2025,UK,Retail,Perplexity,64.54,28942,Small,56+
2026,Germany,Retail,Perplexity,66.97,16631,Small,26-35
2023,Australia,Education,ChatGPT,83.44,2270,Small,46-55
2025,Germany,Finance,Claude,8.04,90323,Small,36-45
2024,Germany,IT,ChatGPT,41.39,7397,Medium,36-45
2023,Canada,IT,Claude,75.63,4263,Small,46-55
2023,Germany,Education,ChatGPT,78.34,40894,Large,26-35
2023,Australia,Education,GitHub Copilot,88.46,41887,Large,46-55
2025,Australia,Finance,Claude,68.25,57319,Medium,36-45
2024,India,Manufacturing,Gemini,27.06,24548,Small,36-45
2023,Germany,Retail,Claude,50.51,69252,Large,56+
2026,Canada,Healthcare,Claude,7.91,97384,Medium,26-35
2023,Germany,Manufacturing,Claude,63.22,56537,Small,56+
2023,UK,Retail,GitHub Copilot,54.89,28399,Medium,18-25
2025,UK,IT,ChatGPT,65.02,41219,Small,46-55
2025,Canada,Manufacturing,Gemini,88.71,77193,Medium,56+
2024,India,Education,ChatGPT,66.85,38748,Medium,26-35
2026,India,Finance,ChatGPT,33.84,14196,Large,46-55
2025,Australia,Retail,Perplexity,22.89,99417,Large,46-55
2023,Australia,Finance,GitHub Copilot,81.92,74379,Medium,46-55
2024,USA,Retail,Perplexity,22.49,7491,Small,46-55
2023,Canada,Manufacturing,GitHub Copilot,19.54,74991,Small,46-55
2023,Germany,IT,ChatGPT,23.6,62930,Small,26-35
2025,Canada,Healthcare,ChatGPT,50.8,70883,Small,18-25
2024,USA,Finance,GitHub Copilot,16.18,40386,Small,36-45
2026,Australia,Finance,ChatGPT,89.43,71926,Large,18-25
2026,Canada,Healthcare,ChatGPT,91.96,99712,Medium,36-45
2025,Canada,Finance,Gemini,92.64,91453,Large,56+
2025,Australia,Finance,Perplexity,8.52,37695,Small,46-55
2024,USA,Retail,Perplexity,90.16,62840,Medium,56+
2026,Australia,Retail,Perplexity,94.77,51029,Small,56+
2026,India,Healthcare,Claude,89.82,32927,Small,36-45
2026,Germany,IT,Gemini,65.38,26309,Medium,26-35
2023,Australia,Manufacturing,Perplexity,68.11,97754,Small,46-55
2026,USA,Manufacturing,Perplexity,16.0,80852,Large,56+
2023,UK,Finance,Gemini,83.69,73496,Large,18-25
2024,India,IT,ChatGPT,10.37,79061,Large,46-55
2023,UK,Healthcare,Perplexity,33.6,13906,Small,26-35
2024,Australia,Healthcare,ChatGPT,94.2,90547,Large,46-55
2026,India,Retail,Perplexity,43.01,25506,Small,56+
2026,Germany,Finance,GitHub Copilot,16.8,34460,Small,18-25
2024,Australia,Education,Claude,92.24,80100,Large,56+
2025,Germany,Healthcare,Perplexity,93.57,96223,Large,26-35
2024,Canada,Finance,GitHub Copilot,21.83,38965,Small,36-45
2025,UK,IT,Gemini,82.83,6558,Small,18-25
2023,India,Retail,GitHub Copilot,40.14,9251,Small,26-35
2023,Germany,Manufacturing,Gemini,39.32,54969,Small,26-35
2023,USA,IT,Perplexity,28.64,72124,Large,56+
2026,Germany,Healthcare,Gemini,9.02,24641,Small,56+
2023,USA,Healthcare,GitHub Copilot,29.12,21903,Small,56+
2025,Australia,IT,Claude,9.84,43283,Small,36-45
2023,India,Healthcare,ChatGPT,88.19,44876,Small,46-55
2024,Germany,Finance,ChatGPT,64.55,62423,Small,46-55
2024,Germany,Healthcare,Claude,84.8,90354,Medium,56+
2026,India,Retail,ChatGPT,69.56,11270,Medium,56+
2024,Germany,Finance,Perplexity,16.82,83066,Medium,36-45
2025,USA,Education,Perplexity,89.65,47384,Large,46-55
2023,Germany,Healthcare,GitHub Copilot,85.99,9360,Small,36-45
2026,UK,Healthcare,GitHub Copilot,36.33,7736,Large,26-35
2023,Australia,Retail,Gemini,15.04,36208,Small,46-55
2023,Canada,Retail,GitHub Copilot,68.37,16041,Medium,56+
2025,USA,Manufacturing,Perplexity,70.55,69071,Small,18-25
2024,UK,IT,GitHub Copilot,85.71,28455,Large,26-35
2024,Australia,IT,ChatGPT,9.74,72936,Large,18-25
2023,India,IT,Gemini,17.75,87819,Small,36-45
2026,USA,Retail,Gemini,58.84,33833,Large,36-45
2024,Canada,IT,Perplexity,60.72,7544,Medium,36-45
2026,Australia,IT,GitHub Copilot,8.02,91391,Small,56+
2024,Canada,Education,ChatGPT,40.72,88698,Medium,36-45
2026,India,IT,GitHub Copilot,57.57,14710,Medium,18-25
2025,India,Healthcare,Claude,71.41,66136,Large,26-35
2026,USA,Manufacturing,GitHub Copilot,33.45,4654,Small,56+
2025,Germany,Retail,Perplexity,48.55,25645,Medium,26-35
2025,India,Finance,GitHub Copilot,78.26,50239,Medium,36-45
2026,Australia,Manufacturing,Gemini,90.85,62071,Small,46-55
2025,Germany,Education,ChatGPT,25.73,46159,Large,56+
2023,UK,Retail,Perplexity,27.77,6871,Medium,36-45
2025,Canada,Retail,Claude,89.58,83135,Small,56+
2024,Germany,Healthcare,ChatGPT,40.63,69568,Small,46-55
2026,Canada,Manufacturing,ChatGPT,69.65,26155,Medium,18-25
2023,Germany,Manufacturing,Gemini,60.1,37302,Medium,18-25
2026,UK,IT,Gemini,30.7,27800,Medium,18-25
2024,India,Healthcare,Gemini,63.82,3667,Large,46-55
2024,UK,IT,Perplexity,64.0,67294,Large,26-35
2024,India,IT,GitHub Copilot,58.32,42936,Small,46-55
2025,India,Retail,ChatGPT,13.97,26727,Small,46-55
2025,Canada,Manufacturing,GitHub Copilot,94.57,38668,Medium,36-45
2026,Australia,IT,GitHub Copilot,41.04,20860,Small,18-25
2026,UK,Education,Gemini,62.44,30085,Large,56+
2023,Germany,Education,GitHub Copilot,84.72,80044,Small,26-35
2023,UK,Manufacturing,ChatGPT,43.1,95468,Small,56+
2026,Canada,Education,ChatGPT,74.65,40885,Medium,36-45
2025,India,Retail,Claude,92.46,35683,Medium,36-45
2024,Canada,Healthcare,Perplexity,37.3,33838,Large,26-35
2026,USA,Finance,GitHub Copilot,41.47,24304,Small,56+
2023,USA,IT,Perplexity,86.5,78921,Small,26-35
2025,Germany,Finance,Perplexity,19.37,98611,Small,26-35
2026,Canada,Healthcare,Perplexity,7.57,16743,Medium,18-25
2026,Germany,Healthcare,Perplexity,86.8,70661,Large,56+
2025,Germany,Retail,ChatGPT,78.94,37226,Small,18-25
2026,USA,Education,GitHub Copilot,92.53,58226,Small,18-25
2025,Germany,Education,Claude,10.24,82524,Small,18-25
2024,USA,Healthcare,Perplexity,19.06,45358,Small,46-55
2025,India,Retail,Claude,14.48,34627,Large,36-45
2025,Canada,Retail,ChatGPT,66.51,23998,Large,36-45
2025,Germany,Manufacturing,ChatGPT,59.54,80023,Large,46-55
2026,USA,IT,Gemini,37.34,57012,Medium,26-35
2026,UK,Education,Perplexity,10.17,46535,Small,56+
2025,Germany,Healthcare,Gemini,62.57,3894,Small,56+
2026,Australia,Manufacturing,Claude,56.31,69226,Small,56+
2023,India,Finance,GitHub Copilot,15.16,14798,Small,18-25
2023,India,Education,Gemini,86.8,12432,Large,56+
2026,UK,IT,ChatGPT,22.91,9693,Medium,56+
2026,USA,Retail,Perplexity,71.92,58232,Medium,56+
2025,Germany,Healthcare,Claude,84.66,95743,Small,36-45
2024,USA,Education,ChatGPT,57.15,97126,Large,46-55
2026,India,Finance,GitHub Copilot,27.22,11136,Medium,26-35
2023,USA,IT,Perplexity,32.83,94197,Medium,46-55
2025,India,IT,GitHub Copilot,84.72,80008,Small,56+
2026,USA,Manufacturing,GitHub Copilot,31.84,53264,Medium,26-35
2023,UK,Education,Perplexity,72.16,19451,Small,26-35
2023,Canada,Finance,Perplexity,94.11,95963,Large,46-55
2024,UK,IT,GitHub Copilot,94.98,58513,Small,46-55
2025,UK,Healthcare,Claude,53.01,18159,Medium,46-55
2025,Canada,IT,Perplexity,79.39,27288,Small,46-55
2024,Canada,Finance,ChatGPT,94.12,98691,Small,18-25
2024,Germany,Retail,Gemini,38.72,67952,Small,36-45
2025,Germany,Retail,Claude,27.72,81895,Small,36-45
2025,UK,Manufacturing,Perplexity,15.28,11929,Small,56+
2026,UK,Education,Perplexity,17.68,73773,Small,18-25
2026,India,Finance,Claude,81.82,24602,Medium,26-35
2024,India,Manufacturing,Gemini,57.99,27304,Small,46-55
2026,Germany,IT,GitHub Copilot,83.63,1365,Medium,56+
2023,Australia,IT,ChatGPT,76.05,35851,Small,26-35
2026,Australia,Retail,Perplexity,65.64,87921,Large,36-45
2026,Germany,Manufacturing,Gemini,59.84,24415,Small,26-35
2023,India,Retail,ChatGPT,9.35,47557,Medium,46-55
2024,India,Healthcare,Claude,83.5,46975,Medium,46-55
2023,Australia,Retail,Perplexity,42.61,60459,Large,36-45
2026,USA,Healthcare,GitHub Copilot,55.38,43520,Small,46-55
2024,USA,IT,Claude,6.98,33479,Large,18-25
2026,India,Manufacturing,Perplexity,89.25,64202,Small,56+
2023,USA,Healthcare,Gemini,86.25,54764,Small,36-45
2023,Canada,Manufacturing,ChatGPT,53.9,92788,Medium,36-45
2026,Germany,Manufacturing,ChatGPT,56.96,71060,Large,26-35
2025,Germany,Healthcare,Perplexity,68.45,75575,Large,36-45
2025,India,Education,Claude,28.82,59569,Medium,56+
2023,UK,Retail,GitHub Copilot,24.97,95889,Medium,18-25
2023,Australia,Healthcare,Gemini,65.66,34496,Large,26-35
2025,India,IT,Perplexity,14.4,13276,Medium,56+
2025,USA,Manufacturing,Gemini,45.87,65136,Small,36-45
2026,Australia,Finance,ChatGPT,49.35,8007,Large,46-55
2026,UK,Healthcare,GitHub Copilot,39.32,3472,Large,46-55
2025,USA,Retail,Gemini,21.67,27672,Medium,56+
2026,Canada,Manufacturing,Perplexity,36.98,24692,Small,18-25
2026,USA,Education,GitHub Copilot,35.38,13202,Large,46-55
2024,Canada,IT,Claude,49.93,25742,Large,56+
2026,Australia,Education,Perplexity,65.72,3239,Small,26-35
2023,Canada,Finance,Gemini,92.14,77279,Medium,36-45
2026,Australia,Healthcare,GitHub Copilot,17.97,18743,Medium,18-25
2026,Australia,Manufacturing,Perplexity,83.57,60217,Medium,18-25
2025,Australia,Healthcare,GitHub Copilot,30.58,28880,Medium,26-35
2023,Australia,Retail,GitHub Copilot,58.22,82303,Small,18-25
2026,Australia,Healthcare,GitHub Copilot,54.21,60432,Small,56+
2026,USA,IT,Gemini,55.13,30732,Large,18-25
2024,Australia,Finance,Perplexity,70.1,38593,Large,18-25
2026,USA,Education,ChatGPT,39.35,48452,Small,18-25
2026,Australia,Finance,ChatGPT,33.72,29508,Large,56+
2024,Canada,Manufacturing,Gemini,81.76,89938,Small,36-45
2025,Australia,Healthcare,Gemini,24.81,87257,Medium,46-55
2026,UK,Manufacturing,GitHub Copilot,21.22,78855,Small,18-25
2024,Australia,Education,Perplexity,6.4,26039,Small,26-35
2023,Australia,Manufacturing,Perplexity,23.95,46980,Large,26-35
2025,Canada,Retail,Claude,51.67,36943,Small,56+
2023,Germany,Finance,Claude,53.47,78414,Medium,36-45
2023,Canada,Education,ChatGPT,27.9,39030,Medium,18-25
2024,UK,Education,Claude,11.5,29970,Large,56+
2026,Germany,Education,Claude,72.02,87757,Large,46-55
2024,India,IT,ChatGPT,73.22,58244,Small,36-45
2024,India,Finance,ChatGPT,94.81,58203,Large,36-45
2024,UK,Manufacturing,Claude,86.0,40870,Medium,56+
2024,Canada,Education,Perplexity,88.35,30258,Large,26-35
2025,USA,Finance,Claude,76.84,89092,Large,36-45
2026,UK,Education,GitHub Copilot,60.4,47501,Medium,26-35
2023,Germany,Retail,GitHub Copilot,16.57,13092,Small,36-45
2023,Germany,Retail,GitHub Copilot,61.01,25490,Small,36-45
2026,Australia,Retail,Gemini,10.04,45958,Large,36-45
2023,India,Healthcare,GitHub Copilot,84.68,16856,Medium,46-55
2026,Germany,Education,Perplexity,48.36,22071,Medium,26-35
2023,UK,Healthcare,Gemini,67.77,7171,Medium,46-55
2024,Germany,Finance,Gemini,9.7,93210,Small,26-35
2023,UK,Healthcare,GitHub Copilot,53.08,46617,Medium,46-55
2026,USA,Finance,Claude,32.11,84911,Medium,46-55
2026,Australia,Finance,ChatGPT,30.65,6686,Small,46-55
2026,India,Finance,Claude,40.07,19803,Medium,56+
2026,Germany,Manufacturing,Claude,5.06,92401,Small,46-55
2026,UK,Healthcare,Gemini,47.0,76277,Large,36-45
2025,Canada,Manufacturing,Gemini,48.79,36835,Large,18-25
2025,India,Education,Gemini,82.68,66458,Large,46-55
2023,USA,Healthcare,Perplexity,45.37,98625,Large,18-25
2026,UK,Education,Perplexity,37.72,39748,Large,18-25
2023,Australia,Education,ChatGPT,94.53,12229,Small,36-45
2026,Australia,Finance,Gemini,56.41,81179,Small,18-25
2026,USA,Healthcare,GitHub Copilot,47.54,91599,Small,18-25
2025,USA,Education,Gemini,49.63,36756,Medium,18-25
